id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,StPrice1,StPrice2,StPriceCombine
4558,CDS,cde_fo,EURINR,7200,OPTCUR,PE,95.5,EURINR30JUNE2395.5PE,EURINR2363095.5PE,EURINR 30JUN23 95.5 PE,30-06-2023,1,0.0025,95,5,95.5
4559,CDS,cde_fo,EURINR,7201,OPTCUR,CE,95.75,EURINR30JUNE2395.75CE,EURINR2363095.75CE,EURINR 30JUN23 95.75 CE,30-06-2023,1,0.0025,95,75,95.75
4560,CDS,cde_fo,EURINR,7202,OPTCUR,PE,95.75,EURINR30JUNE2395.75PE,EURINR2363095.75PE,EURINR 30JUN23 95.75 PE,30-06-2023,1,0.0025,95,75,95.75
4561,CDS,cde_fo,GBPINR,7203,OPTCUR,CE,95.75,GBPINR30JUNE2395.75CE,GBPINR2363095.75CE,GBPINR 30JUN23 95.75 CE,30-06-2023,1,0.0025,95,75,95.75
4562,CDS,cde_fo,USDINR,7204,OPTCUR,PE,88.5,USDINR18AUGUST2388.5PE,USDINR2381888.5PE,USDINR 18AUG23 88.5 PE,18-08-2023,1,0.0025,88,5,88.5
4563,CDS,cde_fo,USDJPY,7205,OPTCUR,CE,127.5,USDJPY29AUGUST23127.5CE,USDJPY23AUG127.5CE,USDJPY 29AUG23 127.5 CE,29-08-2023,1,0.01,127,5,127.5
4564,CDS,cde_fo,JPYINR,7206,OPTCUR,PE,58.75,JPYINR21JULY2358.75PE,JPYINR2372158.75PE,JPYINR 21JUL23 58.75 PE,21-07-2023,1,0.0025,58,75,58.75
4565,CDS,cde_fo,JPYINR,7207,OPTCUR,CE,59,JPYINR21JULY2359CE,JPYINR2372159CE,JPYINR 21JUL23 59 CE,21-07-2023,1,0.0025,59,,59
4566,CDS,cde_fo,USDJPY,7208,OPTCUR,PE,127.5,USDJPY29AUGUST23127.5PE,USDJPY23AUG127.5PE,USDJPY 29AUG23 127.5 PE,29-08-2023,1,0.01,127,5,127.5
4567,CDS,cde_fo,GBPINR,7209,OPTCUR,PE,95.75,GBPINR30JUNE2395.75PE,GBPINR2363095.75PE,GBPINR 30JUN23 95.75 PE,30-06-2023,1,0.0025,95,75,95.75
4568,CDS,cde_fo,GBPINR,7210,OPTCUR,CE,106.5,GBPINR27JUNE23106.5CE,GBPINR23JUN106.5CE,GBPINR 27JUN23 106.5 CE,27-06-2023,1,0.0025,106,5,106.5
4569,CDS,cde_fo,GBPINR,7211,OPTCUR,CE,96,GBPINR30JUNE2396CE,GBPINR2363096CE,GBPINR 30JUN23 96 CE,30-06-2023,1,0.0025,96,,96
4570,CDS,cde_fo,EURINR,7214,OPTCUR,CE,94.5,EURINR18AUGUST2394.5CE,EURINR2381894.5CE,EURINR 18AUG23 94.5 CE,18-08-2023,1,0.0025,94,5,94.5
4571,CDS,cde_fo,EURINR,7215,OPTCUR,PE,94.5,EURINR18AUGUST2394.5PE,EURINR2381894.5PE,EURINR 18AUG23 94.5 PE,18-08-2023,1,0.0025,94,5,94.5
4572,CDS,cde_fo,EURUSD,7216,OPTCUR,CE,1.17,EURUSD26SEPTEMBER231.17CE,EURUSD23SEP1.17CE,EURUSD 26SEP23 1.17 CE,26-09-2023,1,0.0001,1,17,1.17
4573,CDS,cde_fo,EURUSD,7218,OPTCUR,PE,0.96,EURUSD29AUGUST230.96PE,EURUSD23AUG0.96PE,EURUSD 29AUG23 0.96 PE,29-08-2023,1,0.0001,,96,.96
4574,CDS,cde_fo,GBPUSD,7219,OPTCUR,CE,1.07,GBPUSD27JUNE231.07CE,GBPUSD23JUN1.07CE,GBPUSD 27JUN23 1.07 CE,27-06-2023,1,0.0001,1,7,1.7
4575,CDS,cde_fo,GBPUSD,7220,OPTCUR,PE,1.07,GBPUSD27JUNE231.07PE,GBPUSD23JUN1.07PE,GBPUSD 27JUN23 1.07 PE,27-06-2023,1,0.0001,1,7,1.7
4576,CDS,cde_fo,GBPUSD,7221,OPTCUR,CE,1.075,GBPUSD27JUNE231.075CE,GBPUSD23JUN1.075CE,GBPUSD 27JUN23 1.075 CE,27-06-2023,1,0.0001,1,75,1.75
4577,CDS,cde_fo,GBPINR,7222,OPTCUR,PE,106.5,GBPINR27JUNE23106.5PE,GBPINR23JUN106.5PE,GBPINR 27JUN23 106.5 PE,27-06-2023,1,0.0025,106,5,106.5
4578,CDS,cde_fo,GBPINR,7223,OPTCUR,PE,97,GBPINR11AUGUST2397PE,GBPINR2381197PE,GBPINR 11AUG23 97 PE,11-08-2023,1,0.0025,97,,97
4579,CDS,cde_fo,GBPINR,7224,OPTCUR,CE,97.25,GBPINR11AUGUST2397.25CE,GBPINR2381197.25CE,GBPINR 11AUG23 97.25 CE,11-08-2023,1,0.0025,97,25,97.25
4580,CDS,cde_fo,EURUSD,7225,OPTCUR,PE,1.17,EURUSD26SEPTEMBER231.17PE,EURUSD23SEP1.17PE,EURUSD 26SEP23 1.17 PE,26-09-2023,1,0.0001,1,17,1.17
4581,CDS,cde_fo,GBPINR,7226,OPTCUR,CE,109,GBPINR11AUGUST23109CE,GBPINR23811109CE,GBPINR 11AUG23 109 CE,11-08-2023,1,0.0025,109,,109
4582,CDS,cde_fo,GBPINR,7227,OPTCUR,PE,96,GBPINR30JUNE2396PE,GBPINR2363096PE,GBPINR 30JUN23 96 PE,30-06-2023,1,0.0025,96,,96
4583,CDS,cde_fo,GBPINR,7228,OPTCUR,CE,96.25,GBPINR30JUNE2396.25CE,GBPINR2363096.25CE,GBPINR 30JUN23 96.25 CE,30-06-2023,1,0.0025,96,25,96.25
4584,CDS,cde_fo,GBPINR,7236,OPTCUR,PE,109,GBPINR11AUGUST23109PE,GBPINR23811109PE,GBPINR 11AUG23 109 PE,11-08-2023,1,0.0025,109,,109
4585,CDS,cde_fo,GBPINR,7237,OPTCUR,CE,109,GBPINR18AUGUST23109CE,GBPINR23818109CE,GBPINR 18AUG23 109 CE,18-08-2023,1,0.0025,109,,109
4586,CDS,cde_fo,GBPINR,7238,OPTCUR,PE,109,GBPINR18AUGUST23109PE,GBPINR23818109PE,GBPINR 18AUG23 109 PE,18-08-2023,1,0.0025,109,,109
4587,CDS,cde_fo,GBPINR,7239,OPTCUR,CE,109,GBPINR29AUGUST23109CE,GBPINR23AUG109CE,GBPINR 29AUG23 109 CE,29-08-2023,1,0.0025,109,,109
4588,CDS,cde_fo,GBPINR,7240,OPTCUR,PE,109,GBPINR29AUGUST23109PE,GBPINR23AUG109PE,GBPINR 29AUG23 109 PE,29-08-2023,1,0.0025,109,,109
4589,CDS,cde_fo,JPYINR,7241,OPTCUR,CE,65.25,JPYINR18AUGUST2365.25CE,JPYINR2381865.25CE,JPYINR 18AUG23 65.25 CE,18-08-2023,1,0.0025,65,25,65.25
